Date,JSE,ABSA,CAPITEC,FNB,INVESTEC,NEDBANK,STANDARD,BTC,DOGE,ETH,XMR,XRP
2018-04-13,56563.16,17680,85666,6586,9600,29265,21460,7895.959961,0.003995,492.734985,188.867004,0.638087
2018-04-16,56733.46,17888,86948,6700,9550,29504,21651,8058.669922,0.004585,511.147003,194.100006,0.663297
2018-04-17,56826.74,17670,86170,6711,9645,29481,21850,7902.089844,0.004744,502.894012,195.751007,0.656933
2018-04-18,57713.29,18160,85748,6828,9762,30180,22730,8163.419922,0.005412,524.789001,228.345001,0.708932
2018-04-19,57526.79,17970,86549,6853,9790,30129,22568,8294.30957,0.005824,567.888977,238.606003,0.791976
2018-04-20,57581.72,18000,86431,6847,9819,30100,22450,8845.830078,0.005893,615.718018,271.981995,0.924465
2018-04-23,57679.51,17400,86364,6645,9815,29408,22521,8930.879883,0.005482,642.547974,283.299988,0.876657
2018-04-24,57675.2,17400,87400,6552,9870,29375,21393,9697.5,0.0058,708.15802,296.036011,0.934781
2018-04-25,56987.18,17055,84600,6430,9646,28524,21075,8845.740234,0.005093,615.416016,257.140991,0.800607
2018-04-26,57453.04,17600,87213,6573,9786,28975,21067,9281.509766,0.005627,662.809021,268.270996,0.852414
2018-04-30,58236.12,18299,88912,6696,9847,29747,21432,9240.549805,0.00521,669.924011,242.455994,0.837938
2018-05-02,58450.43,18247,87000,6790,10156,29600,21600,9235.919922,0.005273,687.148987,249.664001,0.859094
2018-05-03,57273.88,17651,85999,6476,9722,28850,20933,9743.860352,0.005641,779.54303,245.979004,0.884466
2018-05-04,57648.86,17977,84801,6500,9670,29150,21159,9700.759766,0.005269,785.624023,241.526993,0.895442
2018-05-07,57880.71,18077,86999,6572,9578,29715,21148,9373.009766,0.004817,753.724976,233.070999,0.832641
2018-05-08,57665.24,17690,85800,6500,9686,29500,21020,9234.820313,0.005303,752.856995,223.354004,0.81397
2018-05-09,57915.12,17742,86021,6496,9645,30019,21220,9325.179688,0.005093,752.275024,227.518997,0.802043
2018-05-10,58005.61,17872,85585,6565,9709,30700,21496,9043.94043,0.00487,727.276978,218.222,0.758237
2018-05-11,58422.85,18004,86397,6615,9676,30700,21874,8441.490234,0.004362,679.585999,197.740005,0.684948
2018-05-14,58614.45,18100,87400,6600,9477,30750,21741,8716.790039,0.00446,730.549011,215.042999,0.740898
2018-05-15,57891.76,17365,84052,6300,9490,29482,20688,8510.379883,0.004515,708.870972,205.169998,0.698588
2018-05-16,58621.76,17750,84886,6350,9503,30015,21073,8368.830078,0.004385,707.049988,199.209,0.714081
2018-05-17,58184.24,16961,82673,6200,9641,29305,20302,8094.319824,0.004188,672.656982,192.992996,0.66731
2018-05-18,57804.32,16450,83659,6100,9540,28948,19799,8250.969727,0.004017,694.367004,204.048996,0.680294
